Name	Code	Family	Area
Alawa	alaw1244	Mangarrayi-Maran	Australia
Aleut	aleu1260	Eskimo-Aleut	North America
Alladian	alla1248	Atlantic-Congo	Africa
Alngith	alng1239	Pama-Nyungan	Australia
Alutor	alut1245	Chukotko-Kamchatkan	Eurasia
Alyawarr	alya1239	Pama-Nyungan	Australia
Amahuaca	amah1246	Pano-Tacanan	South America
Amanab	aman1265	Border	Papunesia
Amarakaeri	amar1274	Harakmbut	South America
Ama (Sudan)	amas1236	Nyimang	Africa
Ambele	ambe1247	Atlantic-Congo	Africa
Ambonese Malay	ambo1250	Austronesian	Papunesia
Ambulas	ambu1247	Ndu	Papunesia
Amdo Tibetan	amdo1237	Sino-Tibetan	Eurasia
Amele	amel1241	Nuclear Trans New Guinea	Papunesia
Amharic	amha1245	Afro-Asiatic	Africa
Ami	amii1238	Western Daly	Australia
Amo	amoo1242	Atlantic-Congo	Africa
Amundava	amun1246	Tupian	South America
Amurdak	amar1271	Iwaidjan Proper	Australia
Andegerebinha	ande1247	Pama-Nyungan	Australia
Andi	andi1255	Nakh-Daghestanian	Eurasia
Andoa	ando1255	Zaparoan	South America
Andoque	ando1256	isolate	South America
Aneityum	anei1239	Austronesian	Papunesia
Anfillo	anfi1235	Ta-Ne-Omotic	Africa
Angaataha	anga1290	Angan	Papunesia
Angami Naga	anga1288	Sino-Tibetan	Eurasia
Angkamuthi	angg1238	Pama-Nyungan	Australia
Angolar	ango1258	Indo-European	Africa
Anguthimri	angu1242	Pama-Nyungan	Australia
Anii	anii1245	Atlantic-Congo	Africa
Anindilyakwa	anin1240	Gunwinyguan	Australia
Antakarinya	anta1253	Pama-Nyungan	Australia
Antigua and Barbuda Creole English	anti1245	Indo-European	North America
Anuak	anua1242	Nilotic	Africa
Anufo	anuf1239	Atlantic-Congo	Africa
Anyin	anyi1245	Atlantic-Congo	Africa
Anyin Morofo	anyi1244	Atlantic-Congo	Africa
Ao Naga	aona1235	Sino-Tibetan	Eurasia
Apalaí	apal1257	Cariban	South America
Apatani	apat1240	Sino-Tibetan	Eurasia
Apiaká	apia1248	Tupian	South America
Apinayé	apin1244	Nuclear-Macro-Je	South America
Aproumu Aizi	apro1235	Atlantic-Congo	Africa
A-Pucikwar	apuc1241	Great Andamanese	Eurasia
Apurinã	apur1254	Arawakan	South America
Arabana	arab1267	Pama-Nyungan	Australia
Arabela	arab1268	Zaparoan	South America
Aragonese	arag1245	Indo-European	Eurasia
Arandai	aran1237	South Bird's Head Family	Papunesia
Araona	arao1248	Pano-Tacanan	South America
Araweté	araw1273	Tupian	South America
Arbëreshë Albanian	arbe1236	Indo-European	Eurasia
Arbore	arbo1245	Afro-Asiatic	Africa
Archi	arch1244	Nakh-Daghestanian	Eurasia
Argobba	argo1244	Afro-Asiatic	Africa
Arhuaco	arhu1242	Chibchan	South America
Arikapú	arik1265	Nuclear-Macro-Je	South America
Aringa	arin1244	Central Sudanic	Africa
Aritinngitigh	arit1239	Pama-Nyungan	Australia
Asháninka	asha1243	Arawakan	South America
Ashe	ashe1269	Atlantic-Congo	Africa
Ashéninka Perené	ashe1272	Arawakan	South America
Assamese	assa1263	Indo-European	Eurasia
Asturian-Leonese-Cantabrian	astu1245	Indo-European	Eurasia
Atampaya	atam1239	Pama-Nyungan	Australia
Atayal	atay1247	Austronesian	Papunesia
Attié	atti1239	Atlantic-Congo	Africa
Au	auuu1241	Nuclear Torricelli	Papunesia
Avá-Canoeiro	avac1239	Tupian	South America
Avar	avar1256	Nakh-Daghestanian	Eurasia
Avatime	avat1244	Atlantic-Congo	Africa
Avikam	avik1243	Atlantic-Congo	Africa
Avokaya	avok1242	Central Sudanic	Africa
Awabakal	awab1243	Pama-Nyungan	Australia
Awa-Cuaiquer	awac1239	Barbacoan	South America
Awadhi	awad1243	Indo-European	Eurasia
Awara	awar1248	Nuclear Trans New Guinea	Papunesia
Awetí	awet1244	Tupian	South America
Awing	awin1248	Atlantic-Congo	Africa
Awiyaana	awiy1238	Nuclear Trans New Guinea	Papunesia
Awngi	awng1244	Afro-Asiatic	Africa
Awtuw	awtu1239	Sepik	Papunesia
Axi Yi	axiy1235	Sino-Tibetan	Eurasia
Ayacucho Quechua	ayac1239	Quechuan	South America
Ayere	ayer1245	Atlantic-Congo	Africa
Ayerrerenge	ayer1246	Pama-Nyungan	Australia
Ayoreo	ayor1240	Zamucoan	South America
Baangi	baan1242	Atlantic-Congo	Africa
Baatonum	baat1238	Atlantic-Congo	Africa
Baba	baba1264	Atlantic-Congo	Africa
Babanki	baba1266	Atlantic-Congo	Africa
Badaga	bada1257	Dravidian	Eurasia
Bade	bade1248	Afro-Asiatic	Africa
Badimaya	badi1246	Pama-Nyungan	Australia
Bafanji	bafa1249	Atlantic-Congo	Africa
Bafaw-Balong	bafa1247	Atlantic-Congo	Africa
Bafia	bafi1243	Atlantic-Congo	Africa
Bafut	bafu1246	Atlantic-Congo	Africa
Baga Koga	baga1273	Atlantic-Congo	Africa
Baga Sitemu	baga1272	Atlantic-Congo	Africa
Bagirmi	bagi1246	Central Sudanic	Africa
Baima	baim1244	Sino-Tibetan	Eurasia
Baka (Cameroon)	baka1272	Atlantic-Congo	Africa
Bakairí	baka1277	Cariban	South America
Bakaka	baka1273	Atlantic-Congo	Africa
Baka (Sudan)	baka1274	Central Sudanic	Africa
Bakhtiari	bakh1245	Indo-European	Eurasia
Bakoko	bako1249	Atlantic-Congo	Africa
Bakole	bako1250	Atlantic-Congo	Africa
Balanta-Ganja	bala1302	Atlantic-Congo	Africa
Balinese	bali1278	Austronesian	Papunesia
Balti	balt1258	Sino-Tibetan	Eurasia
Bambalang	bamb1265	Atlantic-Congo	Africa
Bambara	bamb1269	Mande	Africa
Bambassi	bamb1262	Blue Nile Mao	Africa
Bamenyam	bame1260	Atlantic-Congo	Africa
Bamun	bamu1253	Atlantic-Congo	Africa
Bamunka	bamu1256	Atlantic-Congo	Africa
Bana	bana1305	Afro-Asiatic	Africa
Banda Malay	band1353	Austronesian	Papunesia
Banda-Ndélé	band1345	Atlantic-Congo	Africa
Bandi	band1352	Mande	Africa
Bandjigali	band1337	Bookkeeping	Australia
Banggarla	bang1339	Pama-Nyungan	Australia
Bangolan	bang1356	Atlantic-Congo	Africa
Baniva de Maroa	guar1293	Arawakan	South America
Baniwa do Icana	bani1255	Arawakan	South America
Bankon	bank1256	Atlantic-Congo	Africa
Baoulé	baou1238	Atlantic-Congo	Africa
Barain	bare1279	Afro-Asiatic	Africa
Barasana-Eduria	bara1380	Tucanoan	South America
Barbareño	barb1263	Chumashan	North America
Bardi	bard1255	Nyulnyulan	Australia
Baré	bare1276	Arawakan	South America
Barí	bari1297	Chibchan	South America
Bariai	bari1286	Austronesian	Papunesia
Barrow Point	barr1247	Pama-Nyungan	Australia
Baruga	baru1269	Nuclear Trans New Guinea	Papunesia
Basa (Cameroon)	basa1284	Atlantic-Congo	Africa
Bashkir	bash1264	Turkic	Eurasia
Basque	basq1248	isolate	Eurasia
Basque, Souletin	basq1250	Basque	Eurasia
Bassa	nucl1418	Atlantic-Congo	Africa
Bassossi	bass1260	Atlantic-Congo	Africa
Batak Karo	bata1293	Austronesian	Papunesia
Batak Toba	bata1289	Austronesian	Papunesia
Batanga	bata1285	Atlantic-Congo	Africa
Bats	bats1242	Nakh-Daghestanian	Eurasia
Baure	baur1253	Arawakan	South America
Bayungu	bayu1240	Pama-Nyungan	Australia
Beembe	beem1239	Atlantic-Congo	Africa
Befang	befa1241	Atlantic-Congo	Africa
Beja	beja1238	Afro-Asiatic	Africa
Bekwarra	bekw1241	Atlantic-Congo	Africa
Belanda Bor	bela1256	Nilotic	Africa
Belanda Viri	bela1255	Atlantic-Congo	Africa
Belhariya	belh1239	Sino-Tibetan	Eurasia
Belize Kriol English	beli1260	Indo-European	North America
Bella Coola	bell1243	Salishan	North America
Bemba (Zambia)	bemb1257	Atlantic-Congo	Africa
Bena (Tanzania)	bena1262	Atlantic-Congo	Africa
Bench	benc1235	Ta-Ne-Omotic	Africa
Beng	beng1286	Mande	Africa
Bengali	beng1280	Indo-European	Eurasia
Berbice Creole Dutch	berb1259	Indo-European	South America
Beria	zagh1240	Saharan	Africa
Berom	bero1242	Atlantic-Congo	Africa
Berta	bert1248	isolate	Africa
Besermyan	bese1243	Uralic	
Besisi	besi1244	Austroasiatic	Eurasia
Besleri	besl1239	Afro-Asiatic	Africa
Betta Kurumba	bett1235	Dravidian	Eurasia
Bhele	bhel1238	Atlantic-Congo	Africa
Bhili	bhil1251	Indo-European	Eurasia
Bhojpuri	bhoj1244	Indo-European	Eurasia
Biak	biak1248	Austronesian	Papunesia
Biali	bial1238	Atlantic-Congo	Africa
Bibbulman	bibb1234	Pama-Nyungan	Australia
Bidyara	bidy1243	Pama-Nyungan	Australia
Bigambal	biga1237	Pama-Nyungan	Australia
Bikele	bike1242	Atlantic-Congo	Africa
Bila	bila1255	Atlantic-Congo	Africa
Bilin	bili1260	Afro-Asiatic	Africa
Bilinarra	bili1250	Pama-Nyungan	Australia
Biloxi	bilo1248	Siouan	North America
Bilua	bilu1245	isolate	Papunesia
Bimoba	bimo1239	Atlantic-Congo	Africa
Binandere	bina1277	Nuclear Trans New Guinea	Papunesia
Binbinka	binb1242	Mirndi	Australia
Bini	bini1246	Atlantic-Congo	Africa
Bininj Kun-Wok	gunw1252	Gunwinyguan	Australia
Binumarien	binu1245	Nuclear Trans New Guinea	Papunesia
Biri	biri1256	Pama-Nyungan	Australia
Birrdhawal	gana1268	Pama-Nyungan	Australia
Bissa	biss1248	Mande	Africa
Blang	blan1242	Austroasiatic	Eurasia
Bodo Gadaba	bodo1267	Austroasiatic	Eurasia
Bodo-Mech	bodo1269	Sino-Tibetan	Eurasia
Boikin	boik1241	Ndu	Papunesia
Boko (Benin)	boko1266	Mande	Africa
Bole	nucl1695	Afro-Asiatic	Africa
Bomitaba	bomi1238	Atlantic-Congo	Africa
Bonan	bona1250	Mongolic	Eurasia
Bondo	bond1245	Austroasiatic	Eurasia
Bongo	bong1285	Central Sudanic	Africa
Bora	bora1263	Boran	South America
Borana-Arsi-Guji Oromo	bora1271	Afro-Asiatic	Africa
Border Kuna	bord1248	Chibchan	South America
Boro (Ethiopia)	boro1277	Ta-Ne-Omotic	Africa
Bororo	boro1282	Bororoan	South America
Bouna Kulango	boun1243	Atlantic-Congo	Africa
Bouyei	bouy1240	Tai-Kadai	Eurasia
Brahui	brah1256	Dravidian	Eurasia
Brao	lave1249	Austroasiatic	Eurasia
Breton	bret1244	Indo-European	Eurasia
Bribri	brib1243	Chibchan	North America
Brokskat	brok1247	Indo-European	Eurasia
Buamu	buam1238	Atlantic-Congo	Africa
Bubia	bubi1249	Bookkeeping	Africa
Budu	budu1250	Atlantic-Congo	Africa
Buginese	bugi1244	Austronesian	Papunesia
Bujhyal	bujh1238	Sino-Tibetan	Eurasia
Bukharic	bukh1238	Indo-European	Eurasia
Bukusu	buku1249	Atlantic-Congo	Africa
Bularnu	bula1255	Pama-Nyungan	Australia
Bulgarian	bulg1262	Indo-European	Eurasia
Buli (Ghana)	buli1254	Atlantic-Congo	Africa
Bulu (Cameroon)	bulu1251	Atlantic-Congo	Africa
Bum	bumm1238	Atlantic-Congo	Africa
Bumbita Arapesh	bumb1241	Nuclear Torricelli	Papunesia
Bunaba	buna1275	Bunaban	Australia
Bundeli	bund1253	Indo-European	Eurasia
Bunganditj	bung1264	Pama-Nyungan	Australia
Buol	buol1237	Austronesian	Papunesia
Burarra	bura1267	Maningrida	Australia
Burduna	burd1238	Pama-Nyungan	Australia
Burji	burj1242	Afro-Asiatic	Africa
Burmese	nucl1310	Sino-Tibetan	Eurasia
Burun	buru1301	Nilotic	Africa
Burushaski	buru1296	isolate	Eurasia
Busa	busa1253	Mande	Africa
Buwal	buwa1243	Afro-Asiatic	Africa
Cabiyarí	cabi1241	Arawakan	South America
Caddo	cadd1256	Caddoan	North America
Cajamarca Quechua	caja1238	Quechuan	South America
Callawalla	call1235	Mixed Language	South America
Campidanese Sardinian	camp1261	Indo-European	Eurasia
Camsá	cams1241	isolate	South America
Candoshi-Shapra	cand1248	isolate	South America
Canela-Krahô	cane1242	Nuclear-Macro-Je	South America
Capanahua	capa1241	Pano-Tacanan	South America
Caquinte	caqu1242	Arawakan	South America
Carapana	cara1272	Tucanoan	South America
Carijona	cari1279	Cariban	South America
Car Nicobarese	carn1240	Austroasiatic	Eurasia
Cashibo-Cacataibo	cash1251	Pano-Tacanan	South America
Cashinahua	cash1254	Pano-Tacanan	South America
Catalan	stan1289	Indo-European	Eurasia
Cavineña	cavi1250	Pano-Tacanan	South America
Cayubaba	cayu1262	isolate	South America
Cebaara Senoufo	ceba1235	Atlantic-Congo	Africa
Cebuano	cebu1242	Austronesian	Papunesia
Central Aymara	cent2142	Aymaran	South America
Central Bai	cent2004	Sino-Tibetan	Eurasia
Central Dagaare	sout2789	Atlantic-Congo	Africa
Central-Eastern Niger Fulfulde	cent2018	Atlantic-Congo	Africa
Central Gelao-Qau	qaua1234	Tai-Kadai	Eurasia
Central Kanuri	cent2050	Saharan	Africa
Central Khmer	cent1989	Austroasiatic	Eurasia
Central Kurdish	cent1972	Indo-European	Eurasia
Central Mazahua	cent2144	Otomanguean	North America
Central Moroccan Berber	cent2194	Afro-Asiatic	Africa
Central Nicobarese	cent1990	Austroasiatic	Eurasia
Central Pashto	cent1973	Indo-European	Eurasia
Central Sama	cent2092	Austronesian	Papunesia
Central Siberian Yupik	cent2128	Eskimo-Aleut	Eurasia
Central Tunebo	cent2150	Chibchan	South America
Cerma	cerm1238	Atlantic-Congo	Africa
Chachapoyas Quechua	chac1250	Quechuan	South America
Chácobo	chac1251	Pano-Tacanan	South America
Chaha	chah1248	Afro-Asiatic	Africa
Chamacoco	cham1315	Zamucoan	South America
Chamicuro	cham1318	Arawakan	South America
Chamorro	cham1312	Austronesian	Papunesia
Chantyal	chan1310	Sino-Tibetan	Eurasia
Cha'palaa	chac1249	Barbacoan	South America
Chaudangsi	chau1259	Sino-Tibetan	Eurasia
Che	chee1238	Atlantic-Congo	Africa
Chechen	chec1245	Nakh-Daghestanian	Eurasia
Chenchu	chen1255	Dravidian	Eurasia
Chepang	chep1245	Sino-Tibetan	Eurasia
Cherepon	cher1271	Atlantic-Congo	Africa
Cherokee	cher1273	Iroquoian	North America
Chibcha	chib1270	Chibchan	South America
Chickasaw	chic1270	Muskogean	North America
Chimalapa Zoque	chim1300	Mixe-Zoque	North America
Chimariko	chim1301	isolate	North America
Chimborazo Highland Quichua	chim1302	Quechuan	South America
Chimila	chim1309	Chibchan	South America
Chipaya	chip1262	Uru-Chipaya	South America
Chipewyan	chip1261	Athabaskan-Eyak-Tlingit	North America
Chiquihuitlán Mazatec	chiq1250	Otomanguean	North America
Chiquitano	chiq1248	isolate	South America
Chiripá	chir1286	Tupian	South America
Choctaw	choc1276	Muskogean	North America
Chokri Naga	chok1243	Sino-Tibetan	Eurasia
Chol	chol1282	Mayan	North America
Cholón	chol1284	Hibito-Cholon	South America
Chong of Chanthaburi	chon1284	Austroasiatic	Eurasia
Chonyi-Dzihana-Kauma	chon1287	Atlantic-Congo	Africa
Chrau	chra1242	Austroasiatic	Eurasia
Chuanqiandian Cluster Miao	chua1256	Bookkeeping	Eurasia
Chuave	chua1250	Nuclear Trans New Guinea	Papunesia
Chukchi	chuk1273	Chukotko-Kamchatkan	Eurasia
Chumburung	chum1261	Atlantic-Congo	Africa
Chuvash	chuv1255	Turkic	Eurasia
Coastal-Naga Bikol	cent2087	Austronesian	Papunesia
Cocama-Cocamilla	coca1259	Tupian	South America
Cocos Islands Malay	coco1260	Austronesian	Papunesia
Coeur d'Alene	coeu1236	Salishan	North America
Cofán	cofa1242	isolate	South America
Cogui	cogu1240	Chibchan	South America
Colac	cola1237	Pama-Nyungan	Australia
Comanche	coma1245	Uto-Aztecan	North America
Comox	como1259	Salishan	North America
Copainalá Zoque	copa1236	Mixe-Zoque	North America
Copi	copi1238	Atlantic-Congo	Africa
Corongo Ancash Quechua	coro1247	Quechuan	South America
Croatian	croa1245	Indo-European	Eurasia
Cross River Mbembe	cros1244	Atlantic-Congo	Africa
Crow	crow1244	Siouan	North America
Cubeo	cube1242	Tucanoan	South America
Cuiba	cuib1242	Guahiboan	South America
Culina	culi1244	Arawan	South America
Cupeño	cupe1243	Uto-Aztecan	North America
Curripaco	curr1243	Arawakan	South America
Cusco Quechua	cusc1236	Quechuan	South America
Cuvok	cuvo1236	Afro-Asiatic	Africa
Czech	czec1258	Indo-European	Eurasia
Daba	nucl1683	Afro-Asiatic	Africa
Dadibi	dadi1250	Teberan	Papunesia
Dagbani	dagb1246	Atlantic-Congo	Africa
Dagik	dagi1241	Narrow Talodi	Africa
Dagur	daur1238	Mongolic	Eurasia
Dahalo	daha1245	Afro-Asiatic	Africa
Dakpakha	dakp1242	Sino-Tibetan	Eurasia
Daloa Bété	dalo1238	Atlantic-Congo	Africa
Dan	dann1241	Mande	Africa
Dangaleat	dang1274	Afro-Asiatic	Africa
Danish	dani1285	Indo-European	Eurasia
Dar Fur Daju	darf1239	Dajuic	Africa
Darkhat	dark1243	Mongolic	Eurasia
Darma	darm1243	Sino-Tibetan	Eurasia
Daungwurrung	daun1234	Pama-Nyungan	Australia
Dâw	daww1239	Nadahup	South America
Dawro	dawr1236	Ta-Ne-Omotic	Africa
Dazaga	daza1242	Saharan	Africa
Defaka	defa1248	Ijoid	Africa
Deg	degg1238	Atlantic-Congo	Africa
Degema	dege1246	Atlantic-Congo	Africa
Deni	deni1241	Arawan	South America
Denya	deny1238	Atlantic-Congo	Africa
Dera (Indonesia)	dera1245	Senagi	Papunesia
Dera (Nigeria)	dera1248	Afro-Asiatic	Africa
Desano	desa1247	Tucanoan	South America
Dghwede	dghw1239	Afro-Asiatic	Africa
Dhalandji	dhal1245	Pama-Nyungan	Australia
Dhalwangu	dhal1246	Pama-Nyungan	Australia
Dhangu	dhan1270	Pama-Nyungan	Australia
Dhargari	dhar1247	Pama-Nyungan	Australia
Dharumbal	dhar1248	Pama-Nyungan	Australia
Dhimal	dhim1246	Sino-Tibetan	Eurasia
Dhivehi	dhiv1236	Indo-European	Eurasia
Dhudhuroa	dhud1236	Pama-Nyungan	Australia
Dhurga	dhur1239	Pama-Nyungan	Australia
Dhuwal	dhuw1249	Pama-Nyungan	Australia
Dibole	dibo1245	Atlantic-Congo	Africa
Didinga	didi1258	Surmic	Africa
Dieri	dier1241	Pama-Nyungan	Australia
Digo	digo1243	Atlantic-Congo	Africa
Digor	digo1242	Indo-European	Eurasia
Dime	dime1235	South Omotic	Africa
Dimli	diml1238	Indo-European	Eurasia
Dinka	dink1262	Nilotic	Africa
Dirari	dira1238	Pama-Nyungan	Australia
Diriku	diri1252	Atlantic-Congo	Africa
Ditammari	dita1238	Atlantic-Congo	Africa
Dizin	dizi1235	Dizoid	Africa
Djabwurrung	djab1234	Pama-Nyungan	Australia
Djadjawurrungic	djad1246	Pama-Nyungan	
Djambarrpuyngu	djam1256	Pama-Nyungan	Australia
Djangun	djan1238	Pama-Nyungan	Australia
Djapu	djap1238	Pama-Nyungan	Australia
Djawi	djaw1238	Nyulnyulan	Australia
Djeebbana	djee1236	Maningrida	Australia
Djeoromitxí	djeo1235	Nuclear-Macro-Je	South America
Djinang	djin1253	Pama-Nyungan	Australia
Djinba	djin1252	Pama-Nyungan	Australia
Djiwarli	djiw1241	Pama-Nyungan	Australia
Dobu	dobu1241	Austronesian	Papunesia
Dolgan	dolg1241	Turkic	Eurasia
Domari	doma1258	Indo-European	Eurasia
Dompo	domp1238	Atlantic-Congo	Africa
Donga Mambila	came1252	Atlantic-Congo	Africa
Dongxiang	dong1285	Mongolic	Eurasia
Doyayo	doya1240	Atlantic-Congo	Africa
Duala	dual1243	Atlantic-Congo	Africa
Dupaninan Agta	dupa1235	Austronesian	Papunesia
Duruma	duru1249	Atlantic-Congo	Africa
Duruwa	duru1236	Dravidian	Eurasia
Dutch	dutc1256	Indo-European	Eurasia
Duungidjawu	duun1241	Pama-Nyungan	Australia
Dyaabugay	dyaa1242	Pama-Nyungan	Australia
Dyaberdyaber	dyab1238	Nyulnyulan	Australia
Dyangadi	dyan1250	Pama-Nyungan	Australia
Dyirbal	dyir1250	Pama-Nyungan	Australia
Dyugun	dyug1238	Nyulnyulan	Australia
Dyula	dyul1238	Mande	Africa
Dzalakha	dzal1238	Sino-Tibetan	Eurasia
Dzongkha	dzon1239	Sino-Tibetan	Eurasia
Dzùùngoo	dzuu1241	Mande	Africa
East-Central Tangkhul Naga	tang1336	Sino-Tibetan	Eurasia
Eastern Anmatyerre	east2380	Pama-Nyungan	Australia
Eastern Armenian	nucl1235	Indo-European	Eurasia
Eastern Arrernte	east2379	Pama-Nyungan	Australia
Eastern Balochi	east2304	Indo-European	Eurasia
Eastern Bolivian Guaraní	east2555	Tupian	South America
Eastern Cham	east2563	Austronesian	Eurasia
Eastern Karaboro	east2398	Atlantic-Congo	Africa
Eastern Low German	nort2627	Indo-European	Eurasia
Eastern Maninkakan	east2426	Mande	Africa
Eastern Mari	east2328	Uralic	Eurasia
Eastern Newari	east2773	Sino-Tibetan	Eurasia
Eastern Ojibwa	east2542	Algic	North America
Eastern Oromo	east2652	Afro-Asiatic	Africa
Eastern Pahari	east1436	Indo-European	Eurasia
Eastern Panjabi	panj1256	Indo-European	Eurasia
Eastern Tamang	east2347	Sino-Tibetan	Eurasia
Eastern Yiddish	east2295	Indo-European	Eurasia
East Kewa	east2516	Nuclear Trans New Guinea	Papunesia
East Latvian	east2282	Indo-European	Eurasia
East Makian	east2440	Austronesian	Papunesia
East Taa	huaa1248	Tuu	Africa
East Yugur	east2337	Mongolic	Eurasia
Ebang	heib1243	Heibanic	Africa
Ebira	ebir1243	Atlantic-Congo	Africa
Efik	efik1245	Atlantic-Congo	Africa
Efutu	efut1241	Atlantic-Congo	Africa
Ega	egaa1242	Atlantic-Congo	Africa
Eggon	eggo1239	Atlantic-Congo	Africa
Egyptian Arabic	egyp1253	Afro-Asiatic	Africa
Ejagham	ejag1239	Atlantic-Congo	Africa
Ekari	ekar1243	Nuclear Trans New Guinea	Papunesia
Ekpeye	ekpe1253	Atlantic-Congo	Africa
Elfdalian	elfd1234	Indo-European	Eurasia
Elip	elip1238	Atlantic-Congo	Africa
Eloyi	eloy1241	Atlantic-Congo	Africa
Emai-Iuleha-Ora	emai1241	Atlantic-Congo	Africa
Emberá-Baudó	embe1259	Chocoan	South America
Emberá-Catío	embe1260	Chocoan	South America
Emberá-Chamí	embe1262	Chocoan	South America
Emerillon	emer1243	Tupian	South America
Enawené-Nawé	enaw1238	Arawakan	South America
Endo	endo1242	Nilotic	Africa
Engenni	enge1239	Atlantic-Congo	Africa
English	stan1293	Indo-European	Eurasia
Epena	epen1239	Chocoan	South America
Erre	erre1238	Giimbiyu	Australia
Ersu	ersu1241	Sino-Tibetan	Eurasia
Erzya	erzy1239	Uralic	Eurasia
Ese Ejja	esee1248	Pano-Tacanan	South America
Esimbi	esim1238	Atlantic-Congo	Africa
Estonian	esto1258	Uralic	Eurasia
Eten	eten1239	Atlantic-Congo	Africa
Eton-Mengisa	eton1253	Atlantic-Congo	Africa
Even	even1260	Tungusic	Eurasia
Evenki	even1259	Tungusic	Eurasia
Ewe	ewee1241	Atlantic-Congo	Africa
Ewondo	ewon1239	Atlantic-Congo	Africa
Eyak	eyak1241	Athabaskan-Eyak-Tlingit	North America
Ezaa	ezaa1238	Atlantic-Congo	Africa
Ezha	ezha1238	Afro-Asiatic	Africa
Faiwol	faiw1243	Nuclear Trans New Guinea	Papunesia
Fali	fali1285	Afro-Asiatic	Africa
Fang (Cameroon)	fang1248	Atlantic-Congo	Africa
Fang (Equatorial Guinea)	fang1246	Atlantic-Congo	Africa
Faroese	faro1244	Indo-European	Eurasia
Fasu	fasu1242	isolate	Papunesia
Fe'fe'	fefe1239	Atlantic-Congo	Africa
Fijian	fiji1243	Austronesian	Papunesia
Filipino	fili1244	Austronesian	Papunesia
Finnish	finn1318	Uralic	Eurasia
Fipa	fipa1238	Atlantic-Congo	Africa
Fon	fonn1241	Atlantic-Congo	Africa
Foodo	food1238	Atlantic-Congo	Africa
Forest Enets	fore1265	Uralic	Eurasia
Forest Nenets	fore1274	Uralic	Eurasia
Frafra	fraf1238	Atlantic-Congo	Africa
French	stan1290	Indo-European	Eurasia
Friulian	friu1240	Indo-European	Eurasia
Fuliiru	fuli1240	Atlantic-Congo	Africa
Fulniô	fuln1247	isolate	South America
Fur	furr1244	Furan	Africa
Furu	furu1242	Central Sudanic	Africa
Fwâi	fwai1237	Austronesian	Papunesia
Fwe	fwee1238	Atlantic-Congo	Africa
Ga	gaaa1244	Atlantic-Congo	Africa
Gaa	gaaa1245	Atlantic-Congo	Africa
Gaagudju	gaga1251	isolate	Australia
Gaam	gaam1241	Eastern Jebel	Africa
Gabigabi	gabi1248	Pama-Nyungan	
Gade Lohar	gade1236	Indo-European	Eurasia
Gadsup	gads1258	Nuclear Trans New Guinea	Papunesia
Gagauz	gaga1249	Turkic	Eurasia
Gagnoa Bété	gagn1235	Atlantic-Congo	Africa
Galibi Carib	gali1262	Cariban	South America
Galician	gali1258	Indo-European	Eurasia
Galo	galo1242	Sino-Tibetan	Eurasia
Gambera	gamb1251	Worrorran	Australia
Gamo	gamo1243	Ta-Ne-Omotic	Africa
Ganai	gana1278	Pama-Nyungan	Australia
Ganda	gand1255	Atlantic-Congo	Africa
Ganggalida	gang1267	Tangkic	Australia
Gangulu	gang1268	Pama-Nyungan	Australia
Garig	gari1254	Iwaidjan Proper	Australia
Garo	garo1247	Sino-Tibetan	Eurasia
Garrwa	gara1269	Garrwan	Australia
Gata'	gata1239	Austroasiatic	Eurasia
Gavar	gava1241	Afro-Asiatic	Africa
Gavião Do Jiparaná	gavi1246	Tupian	South America
Gayo	gayo1244	Austronesian	Papunesia
Gbagyi	gbag1258	Atlantic-Congo	Africa
Gban	gagu1242	Mande	Africa
Gbari	gbar1246	Atlantic-Congo	Africa
Gbaya-Bossangoa	gbay1287	Atlantic-Congo	Africa
Gbaya-Mbodomo	gbay1281	Atlantic-Congo	Africa
Gbaya (Sudan)	gbay1288	Kresh-Aja	Africa
Gbesi Gbe	gbes1238	Atlantic-Congo	Africa
Gen	genn1243	Atlantic-Congo	Africa
Georgian	nucl1302	Kartvelian	Eurasia
German	stan1295	Indo-European	Eurasia
Gheg Albanian	gheg1238	Indo-European	Eurasia
Ghomálá'	ghom1247	Atlantic-Congo	Africa
Gidabal	gida1240	Pama-Nyungan	Australia
Gidar	gida1247	Afro-Asiatic	Africa
Gikyode	giky1238	Atlantic-Congo	Africa
Ginyanga	giny1241	Atlantic-Congo	Africa
Giryama	giry1241	Atlantic-Congo	Africa
Glavda	glav1244	Afro-Asiatic	Africa
Godié	godi1239	Atlantic-Congo	Africa
Godoberi	ghod1238	Nakh-Daghestanian	Eurasia
Golin	goli1247	Nuclear Trans New Guinea	Papunesia
Gonja	gonj1241	Atlantic-Congo	Africa
Gooniyandi	goon1238	Bunaban	Australia
Goreng	gore1235	Pama-Nyungan	Australia
Gorum-Parenga	pare1266	Austroasiatic	Eurasia
Gourmanchéma	gour1243	Atlantic-Congo	Africa
Grass Koiari	gras1249	Koiarian	Papunesia
Guahibo	guah1255	Guahiboan	South America
Guajá	guaj1256	Tupian	South America
Guajajára	guaj1255	Tupian	South America
Guambiano	guam1248	Barbacoan	South America
Guarayu	guar1292	Tupian	South America
Guató	guat1253	isolate	South America
Guayabero	guay1257	Guahiboan	South America
Gudanji	guda1243	Mirndi	Australia
Gude	gude1246	Afro-Asiatic	Africa
Gudjal	gudj1237	Pama-Nyungan	Australia
Guerrero Amuzgo	guer1243	Otomanguean	North America
